Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,9.82303687450347E-20,0.0149477232172278,-5.79426431854157E-19,0,0,0,0.233677856365645,0.000165802946683648,-5.86095130205183E-22,4.05835488033829E-21,0.000296329731641364,-1.803657355605E-21,0.000165802946683648,0,0,0,0,0,0,package://DOF/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://DOF/meshes/base_link.STL,,Part1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
L1,-1.88872101613979E-17,1.85680272930851E-20,0.00927432460875134,0,0,0,0.0143471232869168,2.12177320624765E-06,-8.46804832760958E-23,1.05617618024192E-22,2.10806964454254E-06,1.56118316145004E-22,9.32299348577374E-07,0,0,0,0,0,0,package://DOF/meshes/L1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://DOF/meshes/L1.STL,,Part2-1,Coordinate System3,Axis1,J1,revolute,0,0,0.03,0,0,1.5708,base_link,0,0,1,0,0,-1.57,1.57,,,,,,,,
L2,0.0318036090643631,1.71643159340604E-17,-3.68041370051351E-17,0,0,0,0.0218942430386523,1.64119620067033E-06,4.90740011837521E-23,3.13395838308239E-22,7.12449078763676E-06,-8.36151268458513E-24,6.90865188528047E-06,0,0,0,0,0,0,package://DOF/meshes/L2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://DOF/meshes/L2.STL,,Part5-1,Coordinate System4,Axis2,J2,revolute,0,0,0.02,1.5708,-1.5708,0,L1,0,0,1,0,0,-1.57,1.57,,,,,,,,
L3,0.0224145914482569,1.21059348673255E-17,4.17984740101743E-17,0,0,0,0.0162032628325081,1.46306818301817E-06,8.48545580412451E-23,3.36915716857782E-22,2.98985840571389E-06,1.71527244366697E-22,2.60015596401038E-06,0,0,0,0,0,0,package://DOF/meshes/L3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://DOF/meshes/L3.STL,,Part3-1,Coordinate System5,Axis3,J3,revolute,0.0525,0,0,0,0,0,L2,0,0,-1,0,0,-1.57,1.57,,,,,,,,
L4,-5.3508081299114E-10,-3.71190641995303E-09,-0.0441504737134913,0,0,0,0.038253532624055,1.62262504509542E-05,-2.52853162894711E-13,4.70788493900399E-13,1.61954742875067E-05,2.37727514468824E-12,3.48393384673887E-06,0,0,0,0,0,0,package://DOF/meshes/L4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://DOF/meshes/L4.STL,,Part4-1,Coordinate System6,Axis4,J4,revolute,0.03,0,0,-1.5708,0,0,L3,0,0,-1,0,0,-1.57,1.57,,,,,,,,
L5,5.91161453122879E-10,-0.0122190585225825,2.34658686769598E-09,0,0,0,0.00534779938775355,9.78910055781953E-07,8.7302710629624E-14,1.23211470982036E-12,7.54089575589643E-07,1.09594224587228E-13,5.57875026158984E-07,0,0,0,0,0,0,package://DOF/meshes/L5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://DOF/meshes/L5.STL,,Part6-1,Coordinate System7,Axis5,J5,revolute,0,0,-0.0675,1.5708,0,0,L4,0,0,1,0,0,-1.57,1.57,,,,,,,,
L6,-0.000163847359302471,1.57987624945776E-08,0.00466180874046621,0,0,0,0.00306027164130821,1.07581619864225E-07,-3.39506804355927E-13,-5.61558092008758E-11,1.02985919632292E-07,-2.48534223067044E-13,1.47678108882252E-07,0,0,0,0,0,0,package://DOF/meshes/L6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://DOF/meshes/L6.STL,,Part7-1,Coordinate System8,Axis6,J6,revolute,0,-0.0225,0,1.5708,0,0,L5,0,0,-1,0,0,-1.57,1.57,,,,,,,,
EE,0.00511269870462672,-0.00511236386254974,0.00668194414671204,0,0,0,0.00171890855943974,2.42342781972555E-07,-4.49388604941093E-08,3.67549825055354E-08,2.42347897015706E-07,-3.67564431610746E-08,2.6705157432335E-07,0,0,0,0,0,0,package://DOF/meshes/EE.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://DOF/meshes/EE.STL,,co ordinate-1,Coordinate System9,,EE,fixed,0,0,0.01,0,0,0,L6,0,0,0,,,,,,,,,,,,
