Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00111653247184856,-2.47856588019062E-05,0.0350775423216737,0,0,0,0.214013778998518,0.00014506059481398,-2.37847055524982E-12,1.27478119861964E-06,0.000147449505353298,-2.76699702605575E-14,0.000223767943326789,0,0,0,0,0,0,package://6DOF-2/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://6DOF-2/meshes/base_link.STL,,legs-1;legs-4;legs-3;legs-2;Base-1;Servo-1;Base_bearing_support-1,Coordinate System8,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,-3.30239519851079E-06,0.0170677308511169,0.0207459974530248,0,0,0,0.135893196407496,8.16953377344433E-05,1.7747456586346E-08,5.1658703519188E-10,6.24198094411801E-05,1.88829979905978E-08,0.000103378025391645,0,0,0,0,0,0,package://6DOF-2/meshes/link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://6DOF-2/meshes/link1.STL,,Link1_base-1;C1-1;Link1-Bearing-Mount-1;Link1-1-1;Link1-Servo-sp-1;Servo-2,Coordinate System7,Axis10,joint1,revolute,0,0,0.085,0,0,0,base_link,0,0,1,0,0,-1.57,1.57,,,,,,,,
link2,0.000436840828042232,-0.0679768380175993,0.000254476875340271,0,0,0,0.175235344220527,0.000255022513735798,2.24897804370044E-09,5.40384385686437E-07,6.67645461061701E-05,1.12525106949762E-05,0.000248867987979662,0,0,0,0,0,0,package://6DOF-2/meshes/link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://6DOF-2/meshes/link2.STL,,Arm1-1;Connector-1;Link2 cover-1;Servo-6;Bearing sp-1,Coordinate System2,Axis11,joint2,revolute,0,0,0.051,-1.5708,0,0,link1,0,0,-1,0,0,-1.57,1.57,,,,,,,,
link3,0.00731128167817027,0.0459386602638774,0.000173423468074263,0,0,0,0.0654362943169794,2.39066743922144E-05,-5.92413205623402E-07,5.10085845703976E-09,2.89078640066287E-05,-1.06997422557498E-07,2.20710311377657E-05,0,0,0,0,0,0,package://6DOF-2/meshes/link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://6DOF-2/meshes/link3.STL,,link2-1;Part2-1;Servo-4;A2-1;motor mount-1,Coordinate System5,Axis2,joint3,revolute,0,-0.1124,0,3.1416,0,1.5708,link2,0,0,1,0,0,-1.57,1.57,,,,,,,,
link4,7.70593905120853E-05,0.00182905514254787,0.0376494628048921,0,0,0,0.0386078994649683,1.92342011434751E-05,-6.41037581818175E-09,-7.81187102308395E-08,1.67673081393978E-05,2.05117616706914E-06,6.64743882543711E-06,0,0,0,0,0,0,package://6DOF-2/meshes/link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://6DOF-2/meshes/link4.STL,,Arm3-2;spsp-1;sp2-1,Coordinate System3,Axis5,link4,revolute,0,0.075,0,1.5708,0,3.1416,link3,0,0,1,0,0,-1.57,1.57,,,,,,,,
link5,-0.0184256820448302,0.0453821355916177,0.000351559170909365,0,0,0,0.0534727652815745,1.69983989756949E-05,1.74850231865527E-06,-2.14843265029993E-07,2.06994207429218E-05,1.71721108289366E-07,2.17164666109225E-05,0,0,0,0,0,0,package://6DOF-2/meshes/link5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://6DOF-2/meshes/link5.STL,,A2 - Copy-1;Servo-3;motor mount-2,Coordinate System9,Axis9,joint5,revolute,0,0,0.052,1.5708,0,0,link4,0,0,-1,0,0,-1.57,1.57,,,,,,,,
link6,0.0037332392922132,-0.00385606800350177,0.0173805970971101,0,0,0,0.00231539418970362,3.57098871983819E-07,-4.07234095114581E-08,1.66638479445446E-08,3.59774075029641E-07,-1.72177633493782E-08,2.79037471422483E-07,0,0,0,0,0,0,package://6DOF-2/meshes/link6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://6DOF-2/meshes/link6.STL,,Part4-1;co ordinate-1,Coordinate System4,Axis6,joint6,revolute,-0.01,0.0685,0,-1.5708,0,0,link5,0,0,1,0,0,-1.57,1.57,,,,,,,,
