Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,4.24779972951501E-20,0.0149477232172278,-5.80532629700385E-19,0,0,0,0.233677856365645,0.000165802946683648,-5.86095130205183E-22,4.05835488033829E-21,0.000296329731641364,-1.803657355605E-21,0.000165802946683648,0,0,0,0,0,0,package://Assem1/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem1/meshes/base_link.STL,,Part1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
L1,-1.88493021263252E-17,1.85680272930851E-20,0.00927432460875134,0,0,0,0.0143471232869168,2.12177320624765E-06,-8.46804832760958E-23,1.05617618024192E-22,2.10806964454254E-06,1.56118316145004E-22,9.32299348577374E-07,0,0,0,0,0,0,package://Assem1/meshes/L1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem1/meshes/L1.STL,,Part2-1,Coordinate System3,Axis1,J1,revolute,0,0,0.03,0,0,1.5708,base_link,0,0,1,0,0,-1.57,1.57,,,,,,,,
L2,0.0318036090643631,1.74310721496365E-17,-3.6426329646784E-17,0,0,0,0.0218942430386524,1.64119620067033E-06,3.37382801078257E-22,1.89121142663092E-22,7.12449078763676E-06,-5.9425583879735E-23,6.90865188528047E-06,0,0,0,0,0,0,package://Assem1/meshes/L2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem1/meshes/L2.STL,,Part5-1,Coordinate System4,Axis2,J2,revolute,0,0,0.02,1.5708,-1.5708,0,L1,0,0,1,0,0,-1.57,1.57,,,,,,,,
L3,0.0224145914482569,1.20395897375245E-17,4.20026750087272E-17,0,0,0,0.0162032628325081,1.46306818301817E-06,8.43669712688009E-23,3.54245596260434E-22,2.98985840571389E-06,1.69873121080214E-22,2.60015596401038E-06,0,0,0,0,0,0,package://Assem1/meshes/L3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem1/meshes/L3.STL,,Part3-1,Coordinate System5,Axis3,J3,revolute,0.0525,0,0,0,0,0,L2,0,0,-1,0,0,-1.57,1.57,,,,,,,,
L4,-5.3508081299114E-10,-3.71190641997466E-09,-0.0441504737134913,0,0,0,0.038253532624055,1.62262504509542E-05,-2.52853163446232E-13,4.70788494001309E-13,1.61954742875068E-05,2.37727514451792E-12,3.48393384673886E-06,0,0,0,0,0,0,package://Assem1/meshes/L4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem1/meshes/L4.STL,,Part4-1,Coordinate System6,Axis4,J4,revolute,0.03,0,0,-1.5708,0,0,L3,0,0,-1,0,0,-1.57,1.57,,,,,,,,
L5,5.91161314345001E-10,2.34658688010525E-09,-0.0102809414774184,0,0,0,0.00534779938775355,9.78910055781953E-07,1.23211470982036E-12,-8.7302710626393E-14,5.57875026158984E-07,-1.09594224583031E-13,7.54089575589643E-07,0,0,0,0,0,0,package://Assem1/meshes/L5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem1/meshes/L5.STL,,Part6-1,Coordinate System8,Axis6,J5,revolute,0,0,-0.09,3.1416,0,0,L4,0,0,-1,0,0,-1.57,1.57,,,,,,,,
EE,0.00173394678374883,-0.00183873327321426,-0.00101495740612378,0,0,0,0.00477918020074795,3.4992440183678E-07,-4.49392000009137E-08,3.66988266963346E-08,3.45333816647997E-07,-3.67566916952976E-08,4.14729683205602E-07,0,0,0,0,0,0,package://Assem1/meshes/EE.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem1/meshes/EE.STL,,Part7-1;co ordinate-1,Coordinate System9,,EE,fixed,0,0,0.01,0,0,0,L5,0,0,0,0,0,-1.57,1.57,,,,,,,,
